"id","name","code","iso_code","direction","grouping","decimal_point","thousands_sep","date_format","time_format","translatable"
"base.lang_es_AR","Spanish (AR) / Español (AR)","es_AR","es_AR","Left-to-Right","[3,3,3,-2]",".",",","%d/%m/%Y","%H:%M:%S","True"
"base.lang_es_BO","Spanish (BO) / Español (BO)","es_BO","es_BO","Left-to-Right","[3,3,3,-2]",".",",","%d/%m/%Y","%H:%M:%S","True"
"base.lang_es_CL","Spanish (CL) / Español (CL)","es_CL","es_CL","Left-to-Right","[3,3,3,-2]",".",",","%d/%m/%Y","%H:%M:%S","True"
"base.lang_es_CO","Spanish (CO) / Español (CO)","es_CO","es_CO","Left-to-Right","[3,3,3,-2]",".",",","%d/%m/%Y","%H:%M:%S","True"
"base.lang_es_CR","Spanish (CR) / Español (CR)","es_CR","es_CR","Left-to-Right","[3,3,3,-2]",".",",","%d/%m/%Y","%H:%M:%S","True"
"base.lang_es_DO","Spanish (DO) / Español (DO)","es_DO","es_DO","Left-to-Right","[3,3,3,-2]",".",",","%d/%m/%Y","%H:%M:%S","True"
"base.lang_es_EC","Spanish (EC) / Español (EC)","es_EC","es_EC","Left-to-Right","[3,3,3,-2]",".",",","%d/%m/%Y","%H:%M:%S","True"
"base.lang_es_GT","Spanish (GT) / Español (GT)","es_GT","es_GT","Left-to-Right","[3,3,3,-2]",".",",","%d/%m/%Y","%H:%M:%S","True"
"base.lang_es_MX","Spanish (MX) / Español (MX)","es_MX","es_MX","Left-to-Right","[3,3,3,-2]",".",",","%d/%m/%Y","%H:%M:%S","True"
"base.lang_es_PA","Spanish (PA) / Español (PA)","es_PA","es_PA","Left-to-Right","[3,3,3,-2]",".",",","%d/%m/%Y","%H:%M:%S","True"
"base.lang_es_PE","Spanish (PE) / Español (PE)","es_PE","es_PE","Left-to-Right","[3,3,3,-2]",".",",","%d/%m/%Y","%H:%M:%S","True"
"base.lang_es_PY","Spanish (PY) / Español (PY)","es_PY","es_PY","Left-to-Right","[3,3,3,-2]",".",",","%d/%m/%Y","%H:%M:%S","True"
"base.lang_es_UY","Spanish (UY) / Español (UY)","es_UY","es_UY","Left-to-Right","[3,3,3,-2]",".",",","%d/%m/%Y","%H:%M:%S","True"
"base.lang_es_VE","Spanish (VE) / Español (VE)","es_VE","es_VE","Left-to-Right","[3,3,3,-2]",".",",","%d/%m/%Y","%H:%M:%S","True"
"base.lang_es","Spanish / Español","es_ES","es","Left-to-Right","[3,3,3,-2]",".",",","%d/%m/%Y","%H:%M:%S","True"
